ID	stage	tx	len	wt
92	Juv	Pr	3.3	0.0002
91	Juv	Fr	3.7	0.0001
191	Juv	Fr	3.7	0.0001
191	Juv	Fr	4.0	0.0001
91	Juv	Fr	4.2	0.0001
92	Juv	Pr	4.3	0.0002
92	Juv	Pr	4.5	0.0002
91	Juv	Fr	4.7	0.0001
122	Juv	Fr	4.8	0.0001
122	Juv	Fr	4.8	0.0001
122	Juv	Fr	4.9	0.0001
40	Juv	Fr	5.0	-0.0002
26	Juv	Fr	5.1	-0.0002
75	Juv	Pr	5.3	0.0002
191	Juv	Fr	5.5	0.0001
27	Juv	Pr	5.6	0.0006
73	Juv	Fr	5.6	0.0000
33	Juv	Pr	5.7	0.0003
37	Juv	Pr	5.8	0.0002
66	Juv	Fr	5.8	0.0003
42	Juv	Pr	5.9	-0.0001
80	Juv	Fr	5.9	-0.0003
82	Juv	Fr	5.9	0.0004
24	Juv	Fr	6.0	-0.0001
65	Juv	Pr	6.0	0.0007
70	Juv	Pr	6.0	0.0004
30	Juv	Fr	6.1	0.0004
76	Juv	Pr	6.1	0.0001
36	Juv	Fr	6.2	-0.0004
25	Juv	Pr	6.3	-0.0001
35	Juv	Fr	6.3	-0.0002
86	Juv	Pr	6.3	0.0006
28	Juv	Pr	6.5	0.0007
32	Juv	Fr	6.5	0.0002
22	Juv	Fr	6.6	-0.0003
78	Juv	Fr	6.7	0.0007
81	Juv	Fr	6.7	0.0000
83	Juv	Pr	6.7	0.0007
21	Juv	Fr	6.8	0.0000
31	Juv	Fr	6.8	-0.0001
38	Juv	Pr	6.8	-0.0001
41	Juv	Fr	6.8	-0.0002
34	Juv	Pr	7.1	0.0009
79	Juv	Fr	7.1	0.0004
87	Juv	Fr	7.1	0.0002
23	Juv	Fr	7.2	0.0002
68	Juv	Pr	7.2	0.0007
74	Juv	Pr	7.2	0.0008
29	Juv	Pr	7.4	0.0004
69	Juv	Pr	7.4	0.0008
63	Juv	Pr	7.5	0.0007
67	Juv	Fr	7.5	0.0007
72	Juv	Fr	7.6	0.0006
64	Juv	Fr	7.7	0.0007
62	Juv	Pr	7.9	0.0000
159	Juv	Fr	8.1	0.0007
43	Juv	Pr	8.2	0.0012
77	Juv	Pr	8.2	0.0018
90	Juv	Pr	8.3	0.0013
84	Juv	Pr	8.4	0.0014
39	Juv	Fr	8.5	0.0007
88	Juv	Fr	8.5	0.0009
190	Juv	Fr	8.6	0.0010
71	Juv	Fr	8.6	0.0008
89	Juv	Pr	8.6	0.0016
164	Juv	Fr	8.6	0.0010
209	Juv	Fr	8.9	0.0010
217	Fem	Fr	9.1	0.0022
20	Fem	Fr	9.1	0.0010
182	Fem	Fr	9.3	0.0017
19	Fem	Fr	9.6	-0.0008
121	Fem	Pr	10.2	0.0024
49	Fem	Pr	11.6	0.0042
201	Fem	Pr	11.6	0.0138
198	Fem	Pr	12.0	0.0053
104	Fem	Pr	12.2	NA
59	Male	Fr	12.2	0.0027
119	Male	Fr	12.3	0.0021
162	Male	Pr	12.4	0.0058
143	Male	Fr	12.5	0.0024
101	Fem	Pr	12.6	0.0056
181	Fem	Pr	12.7	0.0061
235	Male	Fr	12.7	0.0048
17	Fem	Fr	12.8	0.0043
106	Fem	Fr	12.8	0.0043
56	Male	Pr	12.8	0.0063
233	Male	Fr	12.8	0.0038
232	Male	Pr	12.8	0.0064
226	Male	Fr	12.9	0.0027
172	Grav	Fr	12.9	0.0055
15	Male	Pr	12.9	NA
214	Male	Pr	12.9	0.0063
124	Male	Pr	13.0	0.0072
130	Male	Pr	13.0	0.0079
4	Male	Fr	13.1	0.0036
163	Male	Fr	13.1	0.0032
